show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,duration_minutes,duration_seasons
s135,TV Show,Series Title 135,Unknown,"Actor 396, Actor 331, Actor 94, Actor 295, Actor 392","Spain, United Kingdom",2017-12-19,2015,TV-14,6 Seasons,"Romantic Movies, Documentaries",A story exploring themes of romantic movies.,2017.0,,6.0
s136,Movie,Movie Title 136,Unknown,"Actor 117, Actor 104, Actor 195",United States,2017-06-14,2016,TV-G,150 min,"International Movies, Crime TV Shows, Horror Movies",A story exploring themes of international movies.,2017.0,150.0,
s137,TV Show,Series Title 137,Denis Villeneuve,"Actor 100, Actor 130, Actor 298",Unknown,2022-01-07,2020,PG,1 Seasons,"Crime TV Shows, Stand-Up Comedy, Documentaries",A story exploring themes of crime tv shows.,2022.0,,1.0
s138,Movie,Movie Title 138,Unknown,Not listed,Mexico,2014-04-25,2011,TV-Y7,83 min,"British TV Shows, International Movies",A story exploring themes of british tv shows.,2014.0,83.0,
s139,Movie,Movie Title 139,Bong Joon Ho,Not listed,"Canada, Brazil",2017-06-14,2015,PG-13,62 min,Comedies,A story exploring themes of comedies.,2017.0,62.0,
s140,TV Show,Series Title 140,Kunle Afolayan,Actor 93,"Japan, United Kingdom",2009-11-24,2006,TV-14,6 Seasons,"Stand-Up Comedy, Thrillers",A story exploring themes of stand-up comedy.,2009.0,,6.0
s141,TV Show,Series Title 141,Bong Joon Ho,"Actor 178, Actor 168, Actor 319, Actor 66","Spain, United Kingdom",2016-10-13,2016,R,7 Seasons,"Anime Series, Music & Musicals, Comedies",A story exploring themes of anime series.,2016.0,,7.0
s142,Movie,Movie Title 142,Ava DuVernay,"Actor 8, Actor 337, Actor 96, Actor 355",Australia,2022-08-21,2021,NR,120 min,"Thrillers, Horror Movies",A story exploring themes of thrillers.,2022.0,120.0,
s143,Movie,Movie Title 143,Greg Daniels,Actor 88,Japan,2022-01-17,2020,TV-G,95 min,"Horror Movies, Reality TV, Kids' TV",A story exploring themes of horror movies.,2022.0,95.0,
s144,TV Show,Series Title 144,Denis Villeneuve,"Actor 208, Actor 175",Spain,2016-07-07,2016,TV-Y7,8 Seasons,"British TV Shows, Crime TV Shows",A story exploring themes of british tv shows.,2016.0,,8.0
s145,Movie,Movie Title 145,Sofia Coppola,"Actor 18, Actor 188, Actor 360",Brazil,2006-02-17,2006,R,84 min,"Horror Movies, Crime TV Shows",A story exploring themes of horror movies.,2006.0,84.0,
s146,TV Show,Series Title 146,Martin Scorsese,Not listed,Mexico,2005-06-15,2003,TV-G,1 Seasons,Stand-Up Comedy,A story exploring themes of stand-up comedy.,2005.0,,1.0
s147,Movie,Movie Title 147,Rajiv Menon,"Actor 49, Actor 168",Brazil,2009-01-20,2006,R,75 min,"Stand-Up Comedy, Crime TV Shows",A story exploring themes of stand-up comedy.,2009.0,75.0,
s148,Movie,Movie Title 148,Sofia Coppola,"Actor 335, Actor 123, Actor 396, Actor 356, Actor 224","Germany, Brazil",2007-07-21,2005,R,85 min,"Music & Musicals, Action & Adventure",A story exploring themes of music & musicals.,2007.0,85.0,
s149,Movie,Movie Title 149,Unknown,Not listed,"United States, Spain",2000-12-09,2000,TV-Y7,85 min,"Dramas, Kids' TV, International Movies",A story exploring themes of dramas.,2000.0,85.0,
s150,TV Show,Series Title 150,Martin Scorsese,Not listed,"India, Germany",2002-09-24,2001,TV-14,3 Seasons,Romantic Movies,A story exploring themes of romantic movies.,2002.0,,3.0
s151,Movie,Movie Title 151,Unknown,Actor 279,United Kingdom,2016-07-21,2016,TV-14,139 min,"Horror Movies, Dramas",A story exploring themes of horror movies.,2016.0,139.0,
s152,TV Show,Series Title 152,Ava DuVernay,"Actor 209, Actor 101, Actor 232","Canada, Japan",,2009,NR,5 Season,"Reality TV, Anime Series, Horror Movies",A story exploring themes of reality tv.,,,5.0
s153,Movie,Movie Title 153,Jane Campion,Actor 306,"Germany, United Kingdom",2008-03-27,2005,TV-G,100 min,"Comedies, Horror Movies",A story exploring themes of comedies.,2008.0,100.0,
s154,TV Show,Series Title 154,Sofia Coppola,Not listed,Mexico,2002-06-05,2000,TV-PG,1 Seasons,"Horror Movies, British TV Shows, Anime Series",A story exploring themes of horror movies.,2002.0,,1.0
s155,Movie,Movie Title 155,Kunle Afolayan,Not listed,Japan,2004-02-14,2003,TV-G,149 min,"Action & Adventure, Dramas, Anime Series",A story exploring themes of action & adventure.,2004.0,149.0,
s156,TV Show,Series Title 156,Rajiv Menon,Actor 132,Brazil,2008-03-16,2005,TV-PG,3 Seasons,Kids' TV,A story exploring themes of kids' tv.,2008.0,,3.0
s157,Movie,Movie Title 157,Unknown,Actor 61,Japan,2020-07-06,2018,TV-PG,164 min,Action & Adventure,A story exploring themes of action & adventure.,2020.0,164.0,
s158,Movie,Movie Title 158,Jane Campion,"Actor 150, Actor 61, Actor 60, Actor 317",Germany,2018-06-23,2015,TV-14,72 min,"Romantic Movies, Documentaries, Reality TV",A story exploring themes of romantic movies.,2018.0,72.0,
s159,Movie,Movie Title 159,Denis Villeneuve,"Actor 104, Actor 71, Actor 301, Actor 249, Actor 150",Spain,2009-04-26,2006,TV-PG,143 min,Thrillers,A story exploring themes of thrillers.,2009.0,143.0,
s160,Movie,Movie Title 160,Unknown,"Actor 332, Actor 358, Actor 150, Actor 263, Actor 209",Spain,2007-07-20,2005,TV-PG,104 min,"Dramas, Reality TV",A story exploring themes of dramas.,2007.0,104.0,
s161,Movie,Movie Title 161,Ava DuVernay,Not listed,United Kingdom,2017-02-02,2015,TV-MA,178 min,Sci-Fi & Fantasy,A story exploring themes of sci-fi & fantasy.,2017.0,178.0,
s162,TV Show,Series Title 162,Martin Scorsese,"Actor 382, Actor 39","Nigeria, Canada",2019-02-15,2016,TV-MA,8 Seasons,"Anime Series, Music & Musicals",A story exploring themes of anime series.,2019.0,,8.0
s163,TV Show,Series Title 163,Jane Campion,"Actor 367, Actor 127, Actor 62","France, Canada",2009-08-25,2006,TV-G,3 Seasons,Music & Musicals,A story exploring themes of music & musicals.,2009.0,,3.0
s164,Movie,Movie Title 164,Unknown,"Actor 214, Actor 360, Actor 17, Actor 65, Actor 270",France,2000-11-23,1998,PG-13,133 min,"Comedies, Kids' TV",A story exploring themes of comedies.,2000.0,133.0,
s165,Movie,Movie Title 165,Unknown,Not listed,France,,2002,NR,128 min,"Stand-Up Comedy, Music & Musicals, Action & Adventure",A story exploring themes of stand-up comedy.,,128.0,
s166,Movie,Movie Title 166,Ava DuVernay,"Actor 340, Actor 381",Unknown,2011-08-22,2009,R,65 min,"International Movies, Anime Series",A story exploring themes of international movies.,2011.0,65.0,
s167,Movie,Movie Title 167,Unknown,"Actor 157, Actor 158, Actor 26, Actor 158",Unknown,2009-03-23,2008,TV-Y7,117 min,British TV Shows,A story exploring themes of british tv shows.,2009.0,117.0,
s168,Movie,Movie Title 168,Rajiv Menon,"Actor 119, Actor 74","Australia, France",2013-03-25,2010,NR,125 min,"Anime Series, Stand-Up Comedy",A story exploring themes of anime series.,2013.0,125.0,
s169,Movie,Movie Title 169,Ava DuVernay,Not listed,Spain,2021-01-21,2020,R,147 min,"Comedies, Horror Movies",A story exploring themes of comedies.,2021.0,147.0,
s170,TV Show,Series Title 170,Bong Joon Ho,"Actor 101, Actor 258, Actor 275, Actor 358, Actor 164","France, South Korea",2014-09-16,2014,R,4 Seasons,"Kids' TV, International Movies, Sci-Fi & Fantasy",A story exploring themes of kids' tv.,2014.0,,4.0
s171,Movie,Movie Title 171,Sofia Coppola,"Actor 340, Actor 93, Actor 33","Brazil, Japan",2000-07-13,2000,R,73 min,"Sci-Fi & Fantasy, Documentaries, Thrillers",A story exploring themes of sci-fi & fantasy.,2000.0,73.0,
s172,Movie,Movie Title 172,Kunle Afolayan,"Actor 277, Actor 29, Actor 19, Actor 34","Brazil, Australia",2022-12-19,2020,TV-Y7,172 min,"Music & Musicals, Documentaries, Dramas",A story exploring themes of music & musicals.,2022.0,172.0,
s173,Movie,Movie Title 173,Ava DuVernay,"Actor 327, Actor 39, Actor 27, Actor 198","India, Japan",2021-03-01,2020,TV-MA,76 min,"Horror Movies, Comedies",A story exploring themes of horror movies.,2021.0,76.0,
s174,Movie,Movie Title 174,Rajiv Menon,"Actor 39, Actor 119, Actor 118, Actor 393, Actor 11","South Korea, Japan",2012-08-07,2010,R,138 min,"Romantic Movies, Comedies, Stand-Up Comedy",A story exploring themes of romantic movies.,2012.0,138.0,
s175,Movie,Movie Title 175,Sofia Coppola,"Actor 89, Actor 40","India, Australia",2004-06-15,2004,TV-G,136 min,"International Movies, Dramas",A story exploring themes of international movies.,2004.0,136.0,
s176,Movie,Movie Title 176,Bong Joon Ho,Not listed,Australia,2004-12-16,2003,TV-G,120 min,"Anime Series, Music & Musicals",A story exploring themes of anime series.,2004.0,120.0,
s177,TV Show,Series Title 177,Kunle Afolayan,"Actor 24, Actor 213, Actor 248, Actor 70",Mexico,2011-03-27,2009,NR,1 Seasons,"Music & Musicals, Sci-Fi & Fantasy, Anime Series",A story exploring themes of music & musicals.,2011.0,,1.0
s178,TV Show,Series Title 178,Jane Campion,"Actor 27, Actor 294, Actor 6","United Kingdom, Nigeria",2013-12-23,2010,TV-Y7,4 Seasons,"International Movies, Anime Series",A story exploring themes of international movies.,2013.0,,4.0
s179,TV Show,Series Title 179,Denis Villeneuve,"Actor 18, Actor 207, Actor 107","Australia, South Korea",2006-03-22,2004,R,3 Seasons,"Kids' TV, Dramas, Reality TV",A story exploring themes of kids' tv.,2006.0,,3.0
s180,Movie,Movie Title 180,Jane Campion,"Actor 307, Actor 90, Actor 289, Actor 104",Unknown,2018-03-24,2018,NR,148 min,Crime TV Shows,A story exploring themes of crime tv shows.,2018.0,148.0,
s181,TV Show,Series Title 181,Unknown,Actor 151,Mexico,2002-07-04,2001,TV-Y7,6 Seasons,"Crime TV Shows, Reality TV, Sci-Fi & Fantasy",A story exploring themes of crime tv shows.,2002.0,,6.0
s182,TV Show,Series Title 182,Greg Daniels,"Actor 78, Actor 337","Germany, Canada",2008-11-01,2008,TV-G,2 Seasons,"Sci-Fi & Fantasy, Horror Movies",A story exploring themes of sci-fi & fantasy.,2008.0,,2.0
s183,TV Show,Series Title 183,Kunle Afolayan,"Actor 87, Actor 185","Japan, South Korea",,2021,PG-13,7 Seasons,"Action & Adventure, British TV Shows, Documentaries",A story exploring themes of action & adventure.,,,7.0
s184,Movie,Movie Title 184,Unknown,"Actor 277, Actor 81",Unknown,2022-12-19,2019,PG,179 min,"Stand-Up Comedy, British TV Shows, Documentaries",A story exploring themes of stand-up comedy.,2022.0,179.0,
s185,TV Show,Series Title 185,Greg Daniels,Not listed,"Brazil, Canada",2011-09-25,2008,TV-G,2 Seasons,"Action & Adventure, Thrillers",A story exploring themes of action & adventure.,2011.0,,2.0
s186,Movie,Movie Title 186,Sofia Coppola,Not listed,Japan,2004-11-08,2003,PG,170 min,"Thrillers, Stand-Up Comedy",A story exploring themes of thrillers.,2004.0,170.0,
s187,Movie,Movie Title 187,Ava DuVernay,Actor 70,Brazil,2004-04-03,2003,R,91 min,"Romantic Movies, Kids' TV, Action & Adventure",A story exploring themes of romantic movies.,2004.0,91.0,
s188,Movie,Movie Title 188,Unknown,Not listed,"Australia, Brazil",2014-12-12,2014,TV-G,160 min,"Kids' TV, Reality TV",A story exploring themes of kids' tv.,2014.0,160.0,
s189,Movie,Movie Title 189,Unknown,Actor 366,"Australia, United Kingdom",2015-02-05,2013,NR,93 min,"Thrillers, Horror Movies",A story exploring themes of thrillers.,2015.0,93.0,
s190,Movie,Movie Title 190,Jane Campion,"Actor 211, Actor 352, Actor 70",Japan,2016-11-17,2014,TV-Y7,108 min,"British TV Shows, Reality TV, Sci-Fi & Fantasy",A story exploring themes of british tv shows.,2016.0,108.0,
s191,Movie,Movie Title 191,Rajiv Menon,Actor 199,Nigeria,2016-02-21,2016,PG-13,105 min,"Stand-Up Comedy, Dramas, Horror Movies",A story exploring themes of stand-up comedy.,2016.0,105.0,
s192,Movie,Movie Title 192,Rajiv Menon,"Actor 288, Actor 115, Actor 101, Actor 175","Brazil, India",2008-07-13,2006,TV-G,83 min,"Music & Musicals, Anime Series",A story exploring themes of music & musicals.,2008.0,83.0,
s193,Movie,Movie Title 193,Denis Villeneuve,Actor 196,"Brazil, Japan",2020-08-02,2020,PG-13,170 min,"Stand-Up Comedy, Action & Adventure",A story exploring themes of stand-up comedy.,2020.0,170.0,
s194,Movie,Movie Title 194,Jane Campion,"Actor 284, Actor 265, Actor 39","United Kingdom, Australia",2020-01-01,2018,TV-G,120 min,"International Movies, Comedies",A story exploring themes of international movies.,2020.0,120.0,
s195,Movie,Movie Title 195,Unknown,Not listed,Unknown,2010-11-07,2007,TV-G,173 min,"International Movies, Documentaries",A story exploring themes of international movies.,2010.0,173.0,
s196,Movie,Movie Title 196,Bong Joon Ho,"Actor 286, Actor 38",Germany,2019-08-27,2017,TV-14,168 min,"Dramas, Action & Adventure",A story exploring themes of dramas.,2019.0,168.0,
s197,Movie,Movie Title 197,Unknown,"Actor 9, Actor 22, Actor 46",Brazil,2020-06-09,2017,TV-Y7,178 min,Stand-Up Comedy,A story exploring themes of stand-up comedy.,2020.0,178.0,
s198,Movie,Movie Title 198,Denis Villeneuve,"Actor 60, Actor 172, Actor 215",Japan,2007-06-25,2005,TV-Y7,117 min,Romantic Movies,A story exploring themes of romantic movies.,2007.0,117.0,
s199,TV Show,Series Title 199,Unknown,Actor 95,United Kingdom,2014-09-26,2014,TV-G,5 Seasons,Sci-Fi & Fantasy,A story exploring themes of sci-fi & fantasy.,2014.0,,5.0
s200,Movie,Movie Title 200,Bong Joon Ho,"Actor 387, Actor 243, Actor 353, Actor 129, Actor 180",Australia,2000-03-22,1999,TV-14,122 min,Anime Series,A story exploring themes of anime series.,2000.0,122.0,
s201,TV Show,Series Title 201,Denis Villeneuve,Actor 168,Canada,2014-05-17,2014,TV-14,2 Seasons,Reality TV,A story exploring themes of reality tv.,2014.0,,2.0
s202,Movie,Movie Title 202,Unknown,"Actor 171, Actor 306, Actor 307, Actor 294, Actor 305",Mexico,2000-01-18,1998,NR,92 min,Kids' TV,A story exploring themes of kids' tv.,2000.0,92.0,
s203,Movie,Movie Title 203,Greg Daniels,"Actor 368, Actor 227, Actor 324, Actor 186","South Korea, Australia",2003-08-03,2002,TV-MA,94 min,Kids' TV,A story exploring themes of kids' tv.,2003.0,94.0,
s204,Movie,Movie Title 204,Jane Campion,"Actor 263, Actor 75, Actor 152, Actor 5, Actor 169",France,2018-10-27,2018,R,126 min,"British TV Shows, Sci-Fi & Fantasy, Crime TV Shows",A story exploring themes of british tv shows.,2018.0,126.0,
s205,Movie,Movie Title 205,Greg Daniels,"Actor 342, Actor 305, Actor 287, Actor 381","Brazil, Germany",1999-09-02,1999,TV-MA,82 min,"Horror Movies, Crime TV Shows, International Movies",A story exploring themes of horror movies.,1999.0,82.0,
s206,Movie,Movie Title 206,Ava DuVernay,"Actor 150, Actor 374, Actor 289","Germany, South Korea",2001-12-13,1998,R,147 min,"Documentaries, Comedies, Romantic Movies",A story exploring themes of documentaries.,2001.0,147.0,
s207,TV Show,Series Title 207,Kunle Afolayan,Not listed,"Nigeria, United States",2009-03-26,2007,TV-14,2 Seasons,"Anime Series, Crime TV Shows",A story exploring themes of anime series.,2009.0,,2.0
s208,TV Show,Series Title 208,Bong Joon Ho,"Actor 399, Actor 189",Canada,2016-03-13,2013,PG-13,2 Seasons,"Music & Musicals, Anime Series",A story exploring themes of music & musicals.,2016.0,,2.0
s209,TV Show,Series Title 209,Denis Villeneuve,"Actor 273, Actor 179",Canada,2009-03-15,2009,TV-PG,1 Seasons,Kids' TV,A story exploring themes of kids' tv.,2009.0,,1.0
s210,Movie,Movie Title 210,Jane Campion,"Actor 12, Actor 133, Actor 285, Actor 148",Brazil,2012-03-08,2012,TV-PG,129 min,"Comedies, Dramas, Stand-Up Comedy",A story exploring themes of comedies.,2012.0,129.0,
s211,Movie,Movie Title 211,Denis Villeneuve,Not listed,"Australia, France",2019-06-03,2018,PG,156 min,Crime TV Shows,A story exploring themes of crime tv shows.,2019.0,156.0,
s212,Movie,Movie Title 212,Unknown,"Actor 191, Actor 184, Actor 185, Actor 54, Actor 216",Germany,2010-09-05,2008,TV-14,133 min,"International Movies, Thrillers",A story exploring themes of international movies.,2010.0,133.0,
s213,Movie,Movie Title 213,Unknown,Actor 386,Unknown,2019-04-21,2017,NR,82 min,"Crime TV Shows, Kids' TV",A story exploring themes of crime tv shows.,2019.0,82.0,
s214,Movie,Movie Title 214,Unknown,Not listed,Brazil,2018-12-04,2016,PG-13,131 min,"Comedies, Reality TV",A story exploring themes of comedies.,2018.0,131.0,
s215,TV Show,Series Title 215,Denis Villeneuve,"Actor 221, Actor 56","Mexico, South Korea",2008-05-03,2006,PG-13,2 Season,"Anime Series, British TV Shows, Stand-Up Comedy",A story exploring themes of anime series.,2008.0,,2.0
s216,Movie,Movie Title 216,Bong Joon Ho,Actor 264,"South Korea, India",2006-09-07,2003,TV-PG,83 min,"Horror Movies, Crime TV Shows",A story exploring themes of horror movies.,2006.0,83.0,
s217,TV Show,Series Title 217,Rajiv Menon,"Actor 392, Actor 317, Actor 266, Actor 389, Actor 360",Mexico,2002-02-18,1999,TV-PG,5 Seasons,Reality TV,A story exploring themes of reality tv.,2002.0,,5.0
s218,TV Show,Series Title 218,Bong Joon Ho,"Actor 374, Actor 217, Actor 149, Actor 337, Actor 188",Mexico,2004-12-03,2001,NR,7 Seasons,"Kids' TV, Dramas, British TV Shows",A story exploring themes of kids' tv.,2004.0,,7.0
s219,Movie,Movie Title 219,Bong Joon Ho,"Actor 62, Actor 65",United Kingdom,2002-03-12,1999,TV-G,65 min,"International Movies, Reality TV",A story exploring themes of international movies.,2002.0,65.0,
s220,TV Show,Series Title 220,Ava DuVernay,"Actor 122, Actor 195, Actor 80, Actor 212",Mexico,2015-05-02,2015,TV-14,2 Season,"Music & Musicals, Reality TV",A story exploring themes of music & musicals.,2015.0,,2.0
s221,TV Show,Series Title 221,Bong Joon Ho,"Actor 128, Actor 252, Actor 156",Germany,1999-11-10,1998,PG-13,5 Seasons,Documentaries,A story exploring themes of documentaries.,1999.0,,5.0
s222,Movie,Movie Title 222,Jane Campion,"Actor 225, Actor 363, Actor 196, Actor 378, Actor 272",Germany,2012-11-07,2009,TV-PG,124 min,Reality TV,A story exploring themes of reality tv.,2012.0,124.0,
s223,Movie,Movie Title 223,Bong Joon Ho,Not listed,"India, Spain",2011-11-09,2011,TV-Y7,71 min,"Thrillers, Anime Series, Kids' TV",A story exploring themes of thrillers.,2011.0,71.0,
s224,Movie,Movie Title 224,Jane Campion,Actor 144,India,2015-01-24,2014,TV-MA,74 min,"Reality TV, Dramas",A story exploring themes of reality tv.,2015.0,74.0,
s225,Movie,Movie Title 225,Unknown,"Actor 386, Actor 124",Unknown,,2000,TV-MA,134 min,"Thrillers, Crime TV Shows, International Movies",A story exploring themes of thrillers.,,134.0,
s226,Movie,Movie Title 226,Greg Daniels,"Actor 163, Actor 146, Actor 108","India, Nigeria",2003-08-05,2001,PG-13,174 min,Comedies,A story exploring themes of comedies.,2003.0,174.0,
s227,Movie,Movie Title 227,Rajiv Menon,"Actor 21, Actor 353",Nigeria,2000-04-15,2000,R,69 min,"Horror Movies, Anime Series",A story exploring themes of horror movies.,2000.0,69.0,
s228,Movie,Movie Title 228,Ava DuVernay,"Actor 94, Actor 38, Actor 152",United Kingdom,2001-08-11,1998,TV-14,60 min,"Stand-Up Comedy, Kids' TV",A story exploring themes of stand-up comedy.,2001.0,60.0,
s229,TV Show,Series Title 229,Martin Scorsese,"Actor 47, Actor 307","South Korea, Brazil",2021-12-10,2021,TV-Y7,3 Seasons,Anime Series,A story exploring themes of anime series.,2021.0,,3.0
s230,TV Show,Series Title 230,Martin Scorsese,"Actor 344, Actor 14, Actor 42",Unknown,2009-10-16,2007,TV-PG,5 Seasons,"Reality TV, Comedies",A story exploring themes of reality tv.,2009.0,,5.0
s231,Movie,Movie Title 231,Unknown,"Actor 158, Actor 29",Nigeria,2020-04-17,2019,R,164 min,Kids' TV,A story exploring themes of kids' tv.,2020.0,164.0,
s232,TV Show,Series Title 232,Jane Campion,Not listed,Canada,2021-10-09,2018,TV-Y7,6 Seasons,"Romantic Movies, Horror Movies, Kids' TV",A story exploring themes of romantic movies.,2021.0,,6.0
s233,TV Show,Series Title 233,Unknown,Not listed,"South Korea, Germany",2006-08-13,2003,PG-13,4 Seasons,Thrillers,A story exploring themes of thrillers.,2006.0,,4.0
s234,TV Show,Series Title 234,Denis Villeneuve,"Actor 324, Actor 12, Actor 23",Mexico,2019-10-02,2016,TV-G,1 Seasons,Action & Adventure,A story exploring themes of action & adventure.,2019.0,,1.0
s235,Movie,Movie Title 235,Ava DuVernay,"Actor 291, Actor 202",India,2021-09-25,2021,NR,168 min,Dramas,A story exploring themes of dramas.,2021.0,168.0,
s236,Movie,Movie Title 236,Greg Daniels,"Actor 156, Actor 146","India, Mexico",2015-04-02,2013,TV-Y7,67 min,"Crime TV Shows, Romantic Movies",A story exploring themes of crime tv shows.,2015.0,67.0,
s237,Movie,Movie Title 237,Jane Campion,Not listed,Mexico,2004-02-19,2001,R,67 min,"Dramas, Horror Movies",A story exploring themes of dramas.,2004.0,67.0,
s238,Movie,Movie Title 238,Kunle Afolayan,"Actor 360, Actor 270, Actor 124, Actor 236, Actor 73","Canada, Australia",2018-04-12,2018,TV-Y7,146 min,"Thrillers, Comedies, Action & Adventure",A story exploring themes of thrillers.,2018.0,146.0,
s239,Movie,Movie Title 239,Rajiv Menon,"Actor 66, Actor 37, Actor 325, Actor 351","Mexico, Spain",2012-05-15,2009,TV-PG,88 min,"British TV Shows, Dramas",A story exploring themes of british tv shows.,2012.0,88.0,
s240,TV Show,Series Title 240,Sofia Coppola,"Actor 388, Actor 215","France, Spain",2014-07-10,2013,TV-MA,4 Seasons,"Music & Musicals, Dramas, Action & Adventure",A story exploring themes of music & musicals.,2014.0,,4.0
s241,Movie,Movie Title 241,Martin Scorsese,Not listed,United States,2001-10-03,1999,NR,103 min,"Crime TV Shows, Sci-Fi & Fantasy, International Movies",A story exploring themes of crime tv shows.,2001.0,103.0,
s242,Movie,Movie Title 242,Bong Joon Ho,"Actor 138, Actor 199, Actor 71, Actor 326",India,2016-12-11,2016,TV-MA,131 min,"Comedies, British TV Shows",A story exploring themes of comedies.,2016.0,131.0,
s243,Movie,Movie Title 243,Jane Campion,"Actor 362, Actor 74, Actor 107, Actor 267, Actor 303","Germany, India",2013-07-01,2010,NR,156 min,"Music & Musicals, Comedies",A story exploring themes of music & musicals.,2013.0,156.0,
s244,Movie,Movie Title 244,Martin Scorsese,"Actor 148, Actor 55","France, Canada",2005-11-18,2003,TV-MA,64 min,International Movies,A story exploring themes of international movies.,2005.0,64.0,
s245,Movie,Movie Title 245,Sofia Coppola,Actor 177,"Nigeria, India",2016-09-18,2015,NR,118 min,"Action & Adventure, International Movies",A story exploring themes of action & adventure.,2016.0,118.0,
s246,Movie,Movie Title 246,Greg Daniels,"Actor 392, Actor 381, Actor 328, Actor 238","Australia, South Korea",2008-02-20,2005,PG,108 min,"Reality TV, Documentaries, Thrillers",A story exploring themes of reality tv.,2008.0,108.0,
s247,Movie,Movie Title 247,Martin Scorsese,"Actor 303, Actor 69, Actor 53, Actor 122","Germany, Japan",2008-10-07,2006,TV-G,93 min,"Romantic Movies, Horror Movies",A story exploring themes of romantic movies.,2008.0,93.0,
s248,Movie,Movie Title 248,Unknown,"Actor 240, Actor 170",Canada,2007-08-12,2004,TV-Y7,79 min,"Thrillers, Kids' TV",A story exploring themes of thrillers.,2007.0,79.0,
s249,TV Show,Series Title 249,Unknown,"Actor 312, Actor 13, Actor 135, Actor 373","United Kingdom, India",2009-12-12,2009,TV-G,7 Season,"Crime TV Shows, Reality TV, Romantic Movies",A story exploring themes of crime tv shows.,2009.0,,7.0
s250,Movie,Movie Title 250,Denis Villeneuve,Not listed,Unknown,2000-05-22,1999,NR,151 min,"Crime TV Shows, Comedies",A story exploring themes of crime tv shows.,2000.0,151.0,
s251,Movie,Movie Title 251,Unknown,"Actor 243, Actor 118, Actor 114, Actor 199",Spain,2019-06-10,2018,PG,61 min,International Movies,A story exploring themes of international movies.,2019.0,61.0,
s252,Movie,Movie Title 252,Sofia Coppola,"Actor 55, Actor 233, Actor 364, Actor 47, Actor 319",Unknown,2003-07-09,2003,PG-13,101 min,"Comedies, Horror Movies, Anime Series",A story exploring themes of comedies.,2003.0,101.0,
s253,Movie,Movie Title 253,Bong Joon Ho,"Actor 40, Actor 175","Mexico, United Kingdom",2005-08-09,2003,NR,147 min,Anime Series,A story exploring themes of anime series.,2005.0,147.0,
s254,Movie,Movie Title 254,Unknown,"Actor 229, Actor 300, Actor 137, Actor 331",Unknown,2014-02-27,2013,TV-PG,90 min,"Horror Movies, Thrillers",A story exploring themes of horror movies.,2014.0,90.0,
s255,Movie,Movie Title 255,Unknown,Actor 354,Japan,,2004,PG-13,151 min,International Movies,A story exploring themes of international movies.,,151.0,
s256,Movie,Movie Title 256,Bong Joon Ho,"Actor 185, Actor 164, Actor 217, Actor 352, Actor 123","South Korea, United Kingdom",2001-02-06,1999,TV-MA,167 min,"Horror Movies, Documentaries, Thrillers",A story exploring themes of horror movies.,2001.0,167.0,
s257,Movie,Movie Title 257,Sofia Coppola,Not listed,"United States, Spain",2022-04-08,2021,R,97 min,"Thrillers, Crime TV Shows, Reality TV",A story exploring themes of thrillers.,2022.0,97.0,
s258,TV Show,Series Title 258,Ava DuVernay,Not listed,United States,2019-07-27,2018,TV-PG,7 Seasons,"Crime TV Shows, Dramas",A story exploring themes of crime tv shows.,2019.0,,7.0
s259,Movie,Movie Title 259,Greg Daniels,Not listed,"South Korea, United States",,2010,TV-MA,128 min,"Stand-Up Comedy, International Movies",A story exploring themes of stand-up comedy.,,128.0,
s260,Movie,Movie Title 260,Jane Campion,"Actor 353, Actor 379",Japan,2003-08-09,2000,TV-PG,112 min,"Comedies, International Movies",A story exploring themes of comedies.,2003.0,112.0,
s261,Movie,Movie Title 261,Sofia Coppola,"Actor 155, Actor 191, Actor 298, Actor 394, Actor 132",Canada,2009-09-07,2008,R,89 min,"Action & Adventure, Crime TV Shows",A story exploring themes of action & adventure.,2009.0,89.0,
s262,TV Show,Series Title 262,Unknown,Not listed,France,1999-08-07,1999,R,2 Seasons,"Thrillers, Anime Series, Action & Adventure",A story exploring themes of thrillers.,1999.0,,2.0
s263,Movie,Movie Title 263,Denis Villeneuve,"Actor 98, Actor 320, Actor 55, Actor 158, Actor 169",Canada,2020-03-01,2018,TV-PG,86 min,"Music & Musicals, Stand-Up Comedy, Reality TV",A story exploring themes of music & musicals.,2020.0,86.0,
s264,Movie,Movie Title 264,Unknown,Actor 53,Mexico,1998-06-06,1998,TV-14,87 min,Music & Musicals,A story exploring themes of music & musicals.,1998.0,87.0,
s265,Movie,Movie Title 265,Bong Joon Ho,"Actor 151, Actor 82, Actor 161",Germany,2001-08-03,2001,PG-13,176 min,Sci-Fi & Fantasy,A story exploring themes of sci-fi & fantasy.,2001.0,176.0,
s266,Movie,Movie Title 266,Ava DuVernay,Actor 274,Japan,2009-08-14,2006,TV-14,146 min,"Anime Series, Documentaries, International Movies",A story exploring themes of anime series.,2009.0,146.0,
s267,TV Show,Series Title 267,Unknown,"Actor 181, Actor 18, Actor 161",United Kingdom,2018-11-15,2017,R,7 Seasons,"Romantic Movies, Thrillers, International Movies",A story exploring themes of romantic movies.,2018.0,,7.0
